term_id	term_taxonomy_id	name	slug	description	parent	count
1303	1303	Delfín Blanco	delfin-blanco		0	0
818	818	Deloise	deloise		0	0
1037	1037	desenhos animados	desenhos-animados		0	0
361	361	desporto	desporto		0	0
42	42	destaque	destaque		0	513
649	649	Devolution	devolution		0	0
1362	1362	Dez Anos na Porta	dez-anos-na-porta		0	0
59	59	Dia da Através	dia-da-atraves		0	0
1825	1825	Dia da Paz	dia-da-paz		0	1
279	279	Dia da Toalha	dia-da-toalha		0	0
1054	1054	Dia das Comunidades Portuguesas	dia-das-comunidades-portuguesas		0	0
250	250	Dia das Letras	dia-das-letras		0	0
1638	1638	Dia das Letras Chairegas	dia-das-letras-chairegas		0	0
1639	1639	Dia das Letras Galegas	dia-das-letras-galegas		0	0
364	364	Dia de Camões	dia-de-camoes		0	0
1445	1445	Dia do Livro	dia-do-livro		0	2
1542	1542	Dia do Orgulho Lusista e Reintegrata	dia-do-orgulho-lusista-e-reintegrata		0	0
715	715	Dia do Orgulho Neoafalante	dia-do-orgulho-neoafalante		0	0
2072	2072	dia do orgulho neofalante	dia-do-orgulho-neofalante		0	1
1166	1166	Dia Internacional da Juventude	dia-internacional-da-juventude		0	0
1357	1357	Dia Internacional da Língua Materna	dia-internacional-da-lingua-materna		0	0
924	924	Dia Internacional da Mulher	dia-internacional-da-mulher		0	0
1128	1128	Dia Internacional dos Povos Indígenas	dia-internacional-dos-povos-indigenas		0	0
338	338	Dia Mundial do Ambiente	dia-mundial-do-ambiente		0	0
514	514	Dia Nacional da Galiza	dia-nacional-da-galiza		0	7
2104	2104	Dia Nacional da Língua Portuguesa	dia-nacional-da-lingua-portuguesa		0	1
1599	1599	Diana Giráldez Monteagudo	diana-giraldez-monteagudo		0	0
1422	1422	Diana Toucedo	diana-toucedo		0	0
865	865	Diário do Povo	diario-do-povo		0	0
169	169	Diário Liberdade	diario-liberdade		0	7
1239	1239	Diários	diarios		0	0
1255	1255	Diários de Carlos Calvo	diarios-de-carlos-calvo		0	0
607	607	Dias Pardo	dias-pardo		0	0
446	446	Díaz Castro	diaz-castro		0	0
608	608	Díaz Pardo	diaz-pardo		0	0
1844	1844	Dicionário Audiovisual Galego	dicionario-audiovisual-galego		0	2
1210	1210	Dicionário Galego de Futebol	dicionario-galego-de-futebol		0	0
719	719	didática do português	didatica-do-portugues		0	0
2065	2065	DIDEROT	diderot		0	1
184	184	Diego Bernal	diego-bernal		0	22
984	984	Difusora de Letras Artes e Ideias	difusora-de-letras-artes-e-ideias		0	0
754	754	Dilma Rousseff	dilma-rousseff		0	0
874	874	Dina Mita	dina-mita		0	0
108	108	Dionísio Pereira	dionisio-pereira		0	0
1052	1052	Direitos Humanos	direitos-humanos		0	0
355	355	discriminação	discriminacao		0	0
155	155	discriminaçom	discriminacom		0	0
777	777	discriminaçom lingüísica	discriminacom-linguisica		0	0
682	682	discriminaçom lingüística	discriminacom-linguistica		0	0
755	755	discriminaçom normativa	discriminacom-normativa		0	0
1214	1214	discriminaçom ortográfica	discriminacom-ortografica		0	0
185	185	ditadura	ditadura		0	0
936	936	DiVersos	diversos		0	2
2036	2036	Divulga escritor	divulga-escritor		0	1
527	527	Dizer e Fazer	dizer-e-fazer		0	0
1006	1006	Do exílio a galego universal	do-exilio-a-galego-universal		0	0
1207	1207	Do Latim às Línguas Nacionais	do-latim-as-linguas-nacionais		0	0
831	831	Do Ñ para o NH	do-n-para-o-nh		0	0
1041	1041	doaçom	doacom		0	0
2026	2026	Doce Poesia Doce	doce-poesia-doce		0	1
720	720	Docentes de Português na Galiza	docentes-de-portugues-na-galiza		0	0
995	995	documentário	documentario		0	0
147	147	DOG	dog		0	0
972	972	Dokushô Villalba	dokusho-villalba		0	0
1075	1075	Dolores Díaz	dolores-diaz		0	0
2127	2127	Domingos Morais	domingos-morais		0	1
515	515	domínio .gal	dominio-gal		0	0
1597	1597	Doze Segredos da Língua Portuguesa	doze-segredos-da-lingua-portuguesa		0	0
721	721	DPG	dpg		0	9
2100	2100	Dread2Think	dread2think		0	1
54	54	Dublim	dublim		0	0
1141	1141	Dulce Pontes	dulce-pontes		0	0
2020	2020	dupla normativa	dupla-normativa		0	1
1330	1330	e olho	e-olho		0	0
259	259	É-che o que hai	e-che-o-que-hai		0	0
1901	1901	E.O.I. Corunha	e-o-i-corunha		0	1
953	953	Eça de Queirós	eca-de-queiros		0	0
954	954	Eça de Queiroz	eca-de-queiroz		0	0
353	353	ecologia	ecologia		0	0
1964	1964	Ecologismo	ecologismo		0	4
370	370	economia	economia		0	0
230	230	Edelmiro Momám	edelmiro-momam		0	0
510	510	Edgar Morin	edgar-morin		0	0
1167	1167	edital	edital		0	0
125	125	editora	editora		0	0
667	667	EDLG	edlg		0	0
1609	1609	EDLG - EOI Compostela	edlg-eoi-compostela		0	0
1480	1480	EDNL CMUS	ednl-cmus		0	0
793	793	Eduard del Castillo	eduard-del-castillo		0	0
1432	1432	Eduardo Cunha	eduardo-cunha		0	0
393	393	Eduardo Maragoto	eduardo-maragoto		0	21
1197	1197	Eduardo Sanches Maragoto	eduardo-sanches-maragoto		0	5
687	687	educação	educacao		0	2
1321	1321	educaçom	educacom		0	0
1426	1426	Educadoras/es pola Paz	educadorases-pola-paz		0	0
1612	1612	Edward W. Said	edward-w-said		0	0
447	447	Eido Dourado	eido-dourado		0	0
2042	2042	EIIPL	eiipl		0	1
609	609	Eira da Joana	eira-da-joana		0	0
354	354	Eira da Xoana	eira-da-xoana		0	0
650	650	Éire	eire		0	0
1985	1985	Eixo Atlântico	eixo-atlantico		0	1
1290	1290	El Correo Gallego	el-correo-gallego		0	0
1297	1297	El Punt Avui	el-punt-avui		0	0
379	379	El Teixu	el-teixu		0	0
980	980	eleições	eleicoes		0	0
1118	1118	Eleições AGAL	eleicoes-agal		0	0
1119	1119	Eleições AGAL 2015	eleicoes-agal-2015		0	0
346	346	Eleições Europeias	eleicoes-europeias		0	0
1009	1009	Eli Rios	eli-rios		0	2
334	334	Elias Torres	elias-torres		0	6
335	335	Elias Torres Feijó	elias-torres-feijo		0	3
204	204	Elipse	elipse		0	0
1604	1604	Élisée Reclus	elisee-reclus		0	0
847	847	Eliseu Mera	eliseu-mera		0	9
2124	2124	Ellen Key	ellen-key		0	1
901	901	Elvira Riveiro	elvira-riveiro		0	0
1773	1773	Elvira Varela Bao	elvira-varela-bao		0	0
772	772	Em Companhia da Morte	em-companhia-da-morte		0	0
1455	1455	em destaque	em-destaque		0	0
1280	1280	em galego	em-galego		0	0
1355	1355	Em Lume Brando	em-lume-brando		0	9
375	375	Emaranhar Paisagens	emaranhar-paisagens		0	8
796	796	Emergente	emergente		0	0
109	109	emigrantes	emigrantes		0	0
1183	1183	Emília Ferreiro	emilia-ferreiro		0	0
786	786	Emilio Carral	emilio-carral		0	0
1909	1909	Emma Pedreira	emma-pedreira		0	1
2031	2031	Emmanuel Kant	emmanuel-kant		0	1
394	394	éMundial	emundial		0	0
395	395	éMundial 2014	emundial-2014		0	0
1778	1778	en destaque	en-destaque		0	0
1699	1699	En Marea	en-marea		0	2
1531	1531	Encarna Otero	encarna-otero		0	0
99	99	encontro	encontro		0	0
1872	1872	Encontro de mulheres da lusofonia	encontro-de-mulheres-da-lusofonia		0	1
1857	1857	Encontro de Mulheres na Lusofonia	encontro-de-mulheres-na-lusofonia		0	1
1871	1871	Encontro Minho Galiza	encontro-minho-galiza		0	1
1913	1913	Encontros Minho-Galiza	encontros-minho-galiza		0	1
699	699	Enrique Otero	enrique-otero		0	0
189	189	ensino	ensino		0	13
383	383	ensino em galego	ensino-em-galego		0	0
1672	1672	Ensino Popular	ensino-popular		0	0
773	773	Entre Línguas	entre-linguas		0	0
170	170	entrevista	entrevista		0	7
1382	1382	entrevistas	entrevistas		0	7
1323	1323	Entruido	entruido		0	0
98	98	EOI	eoi		0	0
1756	1756	EOI Compostela	eoi-compostela		0	0
1883	1883	EOI Santiago de Compostela	eoi-santiago-de-compostela		0	1
1921	1921	EOI Vigo	eoi-vigo		0	1
441	441	Erasmus	erasmus		0	0
1888	1888	Erdogan	erdogan		0	1
1789	1789	Erguer	erguer		0	1
1506	1506	Eric Nepomuceno	eric-nepomuceno		0	0
2141	2141	Ermitas Valencia	ermitas-valencia		0	1
973	973	Ernesto Guerra da Cal	ernesto-guerra-da-cal		0	0
16	16	Ernesto V. Souza	ernesto-v-souza		0	20
651	651	Escócia	escocia		0	0
384	384	escola	escola		0	2
1341	1341	Escola Oficial de Idiomas	escola-oficial-de-idiomas		0	0
1842	1842	Escola Waldorf Meniñeiros	escola-waldorf-menineiros		0	1
551	551	escolas	escolas		0	0
1471	1471	Escolas Semente	escolas-semente		0	2
2146	2146	escravatura	escravatura		0	1
207	207	escrever.com.nh	escrever-com-nh		0	0
987	987	escritor galego universal	escritor-galego-universal		0	0
1105	1105	escritora	escritora		0	0
1544	1544	escritores nas notas	escritores-nas-notas		0	0
239	239	Espaço Brasil	espaco-brasil		0	51
856	856	Especial JL 2015	especial-jl-2015		0	0
205	205	Espelho de mim mesma	espelho-de-mim-mesma		0	0
201	201	Estados de Sem-Razão	estados-de-sem-razao		0	0
1417	1417	Esteban Yáñez	esteban-yanez		0	0
1613	1613	estereótipos	estereotipos		0	0
1142	1142	Estou Lá	estou-la		0	0
120	120	Estraviz	estraviz		0	0
722	722	Estremadura	estremadura		0	0
177	177	estudar português	estudar-portugues		0	0
1113	1113	estudos galegos	estudos-galegos		0	0
1606	1606	etnografia	etnografia		0	0
220	220	Eu violei o lobo feroz	eu-violei-o-lobo-feroz		0	3
492	492	Eu-Návia	eu-navia		0	0
1073	1073	Eugénio Anacoreta Correia	eugenio-anacoreta-correia		0	0
1875	1875	Eugénio Outeiro	eugenio-outeiro		0	2
347	347	Europa	europa		0	0
902	902	Eva Méndez	eva-mendez		0	0
1294	1294	Eva Xanim	eva-xanim		0	4
1959	1959	Eva Yusty Campo	eva-yusty-campo		0	2
707	707	Evanildo Bechara	evanildo-bechara		0	0
191	191	evento	evento		0	0
176	176	eventos	eventos-2		0	7
110	110	exilados	exilados		0	0
437	437	experiência aPorto	experiencia-aporto		0	0
540	540	exposição	exposicao		0	0
50	50	exposiçom	exposicom		0	0
2025	2025	extraescolares	extraescolares		0	1
723	723	Extremadura	extremadura		0	0
1951	1951	Fabián Severo	fabian-severo		0	1
142	142	Facal	facal		0	0
1430	1430	fado	fado		0	0
380	380	Fala Ceibe	fala-ceibe		0	0
381	381	Fala Ceive	fala-ceive		0	0
616	616	falares	falares		0	0
240	240	Falarmos	falarmos		0	0
5	5	falarmos Brasil	falarmos-brasil		0	0
587	587	Fanfarria Taquikardia	fanfarria-taquikardia		0	0
451	451	fascismo	fascismo		0	0
1427	1427	fase superior do capitalismo	fase-superior-do-capitalismo		0	0
808	808	FCC	fcc		0	0
1394	1394	FCSH	fcsh		0	0
1400	1400	Federico García Lorca	federico-garcia-lorca		0	0
956	956	Feijóo	feijoo		0	0
68	68	feira	feira		0	0
1450	1450	Feira Internacional do Livro de Buenos Aires	feira-internacional-do-livro-de-buenos-aires		0	0
763	763	Felisa R. Prado	felisa-r-prado		0	0
677	677	Felisa Rodríguez Prado	felisa-rodriguez-prado		0	3
1858	1858	Femafro	femafro		0	2
487	487	feminismo	feminismo		0	0
809	809	Fenosa	fenosa		0	0
1640	1640	Fernández Paz	fernandez-paz		0	0
1124	1124	Fernando Corredoira	fernando-corredoira		0	0
1507	1507	Fernando Morais	fernando-morais		0	0
1125	1125	Fernando Vásquez Corredoira	fernando-vasquez-corredoira		0	0
314	314	Fernando Venâncio	fernando-venancio		0	0
192	192	Ferrol	ferrol		0	0
1295	1295	Fervenzas Literárias	fervenzas-literarias		0	0
516	516	Fest-AGAL	fest-agal		0	22
60	60	festa	festa		0	0
629	629	Festa da República	festa-da-republica		0	0
791	791	festa de boas-vindas	festa-de-boas-vindas		0	0
1224	1224	Festa de Outono	festa-de-outono		0	0
1602	1602	Festa de São João	festa-de-sao-joao		0	0
1939	1939	Festa do 17	festa-do-17		0	1
